,OBJECTID,UNITID,SIGID,MAINSTREET,CROSSSTREE,OWNER2,ROUTE,MILEPOINT,DESCRIPTIO,TIMES,OWNER,TYPE,INTID,ATMSID,geometry
209,210,MPW005814,SIG005814,BRECKINRIDGE,2ND,S,KY-1020,11.8,BRECKINRIDGE @ 2ND,24 HOURS,KYTC,1,132320658587,,POINT (-85.75580811768347 38.24154021282215)
210,211,MPW005862,SIG005862,W BRECKINRIDGE ST,S 1ST ST,M,,,W BRECKINRIDGE ST @ S 1ST ST,24 HOURS,METRO,1,132400657065,,POINT (-85.75414596709132 38.24136063404911)
211,212,MPW005845,SIG005845,1ST,KENTUCKY,M,,,1ST @ KENTUCKY,24 HOURS,METRO,1,133172223353,,POINT (-85.75466700583944 38.238398134552924)
212,213,MPW003774,SIG003774,OAK,22ND,S,US-31W,18.747,OAK @ 22ND,24 HOURS,KYTC,1,133294719658,,POINT (-85.79027276244128 38.23745808350388)
213,214,MPW005638,SIG005638,4TH,ST CATHERINE,M,,,4TH @ ST CATHERINE,24 HOURS,METRO,1,133472305578,,POINT (-85.75990635318398 38.23741681803906)
214,215,MPW005707,SIG005707,ST CATHERINE,3RD,S,KY-1020,11.49,ST CATHERINE @ 3RD,24 HOURS,KYTC,1,133585786643,,POINT (-85.75824692616152 38.23723863661735)
215,216,MPW005889,SIG005889,BROOK,ST CATHERINE,M,,,BROOK @ ST CATHERINE,24 HOURS,METRO,1,133830707578,,POINT (-85.75327907690415 38.236700899154876)
216,217,MPW005822,SIG005822,1ST,OAK,M,,,1ST @ OAK,24 HOURS,METRO,1,134562223471,,POINT (-85.75534104302051 38.23456649023769)
217,218,MPW006810,SIG006810,ST CATHERINE,SCHILLER,M,,,ST CATHERINE @ SCHILLER,24 HOURS,METRO,1,134765785585,,POINT (-85.73180815894338 38.23438311854057)
218,219,MPW006499,SIG006499,LOGAN,MARY,S,KY-864,14.691,LOGAN @ MARY,24 HOURS,KYTC,1,134773921423,,POINT (-85.7397991073777 38.23421088707277)
219,220,MPW005639,SIG005639,MAGNOLIA,3RD,S,KY-1020,10.912,MAGNOLIA @ 3RD,24 HOURS,KYTC,1,136634130643,,POINT (-85.75970792333668 38.2289794143631)
220,221,MPW005696,SIG005696,BURNETT,2ND,S,KY-1020,10.784,BURNETT @ 2ND,24 HOURS,KYTC,1,137210775587,,POINT (-85.75837023017007 38.22695270994031)
221,222,MPW005824,SIG005824,BROOK,BURNETT,M,,,BROOK @ BURNETT,24 HOURS,METRO,1,137360707077,,POINT (-85.75506271750967 38.226594938110665)
222,223,MPW005817,SIG005817,BROOK,HILL,M,,,BROOK @ HILL,24 HOURS,METRO,1,137830707293,,POINT (-85.7552891630371 38.22529967532051)
223,224,MPW005505,SIG005505,4TH,LEE,M,,,4TH @ LEE,24 HOURS,METRO,1,138672305379,,POINT (-85.76237297333923 38.22338967629813)
224,225,MPW005581,SIG005581,LEE,3RD,S,KY-1020,10.508000000000001,LEE @ 3RD,24 HOURS,KYTC,1,138833797643,,POINT (-85.7607169353563 38.223212691436686)
225,226,MPW002648,SIG002648,CANE RUN,COMMERCE CENTER,S,KY-1934,11.28,CANE RUN @ COMMERCE CENTER,24 HOURS,KYTC,1,139130934D19,,POINT (-85.81170704922702 38.221878293830024)
226,227,MPW005467,SIG005467,BRANDEIS,4TH,M,,,BRANDEIS @ 4TH,24 HOURS,METRO,1,140370648230,,POINT (-85.76305751652389 38.219482484656055)
227,228,MPW005815,SIG005815,FLOYD,UNIVERSITY,M,,,FLOYD @ UNIVERSITY,24 HOURS,METRO,1,142022254F271,,POINT (-85.7551054968592 38.21462089216997)
228,229,MPW003916,SIG003916,ARCADE,7TH STREET,S,KY-1931,9.620000000000001,ARCADE @ 7TH STREET,24 HOURS,KYTC,1,144220148590,,POINT (-85.78708442592374 38.209625806352356)
229,230,MPW007305,SIG007305,FINCASTLE,POPLAR LEVEL,S,KY-864,12.268,FINCASTLE @ POPLAR LEVEL,24 HOURS,KYTC,1,145692213512,,POINT (-85.71517714865706 38.20766336918901)
230,231,MPW006617,SIG006617,HESS,PRESTON,S,KY-61,9.332,HESS @ PRESTON,24 HOURS,KYTC,1,146612906514,,POINT (-85.73631016515957 38.2049585950974)
231,232,MPW016732,SIG016732,JUNEAU,SHELBYVILLE,S,US-60,10.73,JUNEAU @ SHELBYVILLE,24 HOURS,KYTC,1,1634077594,,POINT (-85.52618945894443 38.24627733144749)
232,233,MPW016812,SIG016812,COLLINS,WESTPORT,S,KY-1447,8.03,COLLINS @ WESTPORT,24 HOURS,KYTC,1,2801224713,,POINT (-85.5242920059551 38.304235417097765)
233,234,MPW011633,SIG011633,LIME KILN,U S HIGHWAY 42,S,US-42,6.52,LIME KILN @ U S HIGHWAY 42,24 HOURS,KYTC,1,17903860671,,POINT (-85.62962280211369 38.28909057961767)
234,235,MPW014693,SIG014693,GOOSE CREEK,WESTPORT,S,KY-1447,4.94,GOOSE CREEK @ WESTPORT,24 HOURS,KYTC,1,18192589713,,POINT (-85.57761102274002 38.28603897923581)
235,236,MPW012044,SIG012044,WASHBURN,WESTPORT,S,KY-1447,2.09,WASHBURN @ WESTPORT,24 HOURS,KYTC,1,22007042713,,POINT (-85.62228553833424 38.26633880675523)
