,OBJECTID,UNITID,SIGID,MAINSTREET,CROSSSTREE,OWNER2,ROUTE,MILEPOINT,DESCRIPTIO,TIMES,OWNER,TYPE,INTID,ATMSID,geometry
445,446,MPW004945,SIG004945,12TH STREET CONNECTOR,ESQUIRE,M,,,12TH STREET CONNECTOR @ ESQUIRE,24 HOURS,METRO,1,130338534922,,POINT (-85.77160442061636 38.248243290131185)
446,447,MPW003946,SIG003946,GARLAND,DR W J HODGE,S,US-31W,19.285,GARLAND @ DR W J HODGE,24 HOURS,KYTC,1,131322482657,,POINT (-85.78745729130146 38.24394140207757)
447,448,MPW003377,SIG003377,OAK,26TH,M,,,OAK @ 26TH,24 HOURS,METRO,1,133224719658,,POINT (-85.79623332418609 38.23776843616949)
448,449,MPW005537,SIG005537,GARVIN,OAK,M,,,GARVIN @ OAK,24 HOURS,METRO,1,134282491471,,POINT (-85.76199198813669 38.23517315818278)
449,450,MPW006433,SIG006433,MARY,ST CATHERINE,S,KY-864,14.794,MARY @ ST CATHERINE,24 HOURS,KYTC,1,134624234578,,POINT (-85.74124026415622 38.23470245696072)
450,451,MPW006422,SIG006422,OAK,SHELBY,S,KY-864,14.700000000000001,OAK @ SHELBY,24 HOURS,KYTC,1,135134718593,,POINT (-85.74147110005616 38.23339584064024)
451,452,MPW005709,SIG005709,MAGNOLIA,2ND,S,KY-1020,10.913,MAGNOLIA @ 2ND,24 HOURS,KYTC,1,136714130587,,POINT (-85.75805549829572 38.2287728199784)
452,453,MPW005835,SIG005835,BROOK,MAGNOLIA,M,,,BROOK @ MAGNOLIA,24 HOURS,METRO,1,136810707412,,POINT (-85.75473216289983 38.22847428932238)
453,454,MPW005688,SIG005688,HILL,2ND,S,KY-1020,10.694,HILL @ 2ND,24 HOURS,KYTC,1,137652934587,,POINT (-85.75860083237748 38.22565103531535)
454,455,MPW006745,SIG006745,GOSS,TEXAS,S,KY-864,13.933,GOSS @ TEXAS,24 HOURS,KYTC,1,137702592642,,POINT (-85.73332945860096 38.225949273567075)
455,456,MPW003126,SIG003126,ALGONQUIN,CYPRESS,S,KY-2054,1.22,ALGONQUIN @ CYPRESS,24 HOURS,KYTC,1,138330061137,,POINT (-85.80017813508573 38.223716182792685)
456,457,MPW006977,SIG006977,POPLAR LEVEL,THRUSTON,S,KY-864,13.200000000000001,POPLAR LEVEL @ THRUSTON,24 HOURS,KYTC,1,141165123648,,POINT (-85.72669122007237 38.217605510462974)
457,458,MPW005937,SIG005937,UNIVERSITY,I 65 RAMP,S,I-65,0.185,UNIVERSITY @ I 65 RAMP,24 HOURS,KYTC,1,14222F2719998,,POINT (-85.75210823058688 38.21430882801703)
458,459,MPW005500,SIG005500,EASTERN,3RD,S,US-60,3.479,EASTERN @ 3RD,24 HOURS,KYTC,1,142781835643,,POINT (-85.76229859758902 38.21375348793156)
459,460,MPW007851,SIG007851,NEWBURG,TREVILIAN,S,KY-1703,3.399,NEWBURG @ TREVILIAN,24 HOURS,KYTC,1,142824552653,,POINT (-85.70100239613686 38.21357191923995)
460,461,MPW005049,SIG005049,ALGONQUIN,WINKLER,S,US-60,2.78,ALGONQUIN @ WINKLER,24 HOURS,KYTC,1,143740061723,,POINT (-85.76909095557662 38.21082655380643)
461,462,MPW006572,SIG006572,LOCUST,PRESTON,S,KY-61,9.476,LOCUST @ PRESTON,24 HOURS,KYTC,1,145923913514,,POINT (-85.73755897954184 38.206901624366125)
462,463,MPW006670,SIG006670,AUDUBON,PRESTON,S,KY-61,9.177,AUDUBON @ PRESTON,24 HOURS,KYTC,1,147460219514,,POINT (-85.73494737888767 38.20284252240176)
463,464,MPW002732,SIG002732,LOUIS COLEMAN JR,VIRGINIA,M,,,LOUIS COLEMAN JR @ VIRGINIA,24 HOURS,METRO,1,28201E9856877,,POINT (-85.81027123310263 38.23899232486192)
464,465,MPW012554,SIG012554,U S HIGHWAY 42,RIVER,S,US-42,10.55,U S HIGHWAY 42 @ RIVER,24 HOURS,KYTC,1,13576712819,,POINT (-85.61591806615161 38.345459495988024)
465,466,MPW010103,SIG010103,FRANKFORT,LEXINGTON,S,US-60,3.46,FRANKFORT @ LEXINGTON,24 HOURS,KYTC,1,25272323383,,POINT (-85.65711718924615 38.253030530067484)
466,467,MPW010365,SIG010365,BROWNSBORO,HUBBARDS,S,US-42,4.671,BROWNSBORO @ HUBBARDS,24 HOURS,KYTC,1,21410724300,,POINT (-85.65282743190534 38.27052676756823)
467,468,MPW012477,SIG012477,NEW LA GRANGE,SHELBYVILLE,S,US-60,5.77,NEW LA GRANGE @ SHELBYVILLE,24 HOURS,KYTC,1,26644625594,,POINT (-85.61515325585064 38.24956615365581)
468,469,MPW010446,SIG010446,GOLDSMITH,HIKES,M,,,GOLDSMITH @ HIKES,24 HOURS,METRO,1,36572585293,,POINT (-85.65006904324424 38.20527417229337)
469,470,MPW011236,SIG011236,BRECKENRIDGE,I 264 RAMP,S,KY-1932,3.73,BRECKENRIDGE @ I 264 RAMP,24 HOURS,KYTC,1,51850656999,,POINT (-85.63700619281519 38.23010896955744)
470,471,MPW015634,SIG015634,WATTERSON,RUCKRIEGEL,S,KY-1819,10.16,WATTERSON @ RUCKRIEGEL,24 HOURS,KYTC,1,54317355888,,POINT (-85.55955101595445 38.19931665044304)
471,472,MPW017034,SIG017034,TAYLORSVILLE,I 265 RAMP,S,KY-155,6.21,TAYLORSVILLE @ I 265 RAMP,24 HOURS,KYTC,1,81566394999,,POINT (-85.51054518862314 38.188503978713236)
472,473,MPW015919,SIG015919,CHENOWETH RUN,TAYLORSVILLE,S,KY-155,8.46,CHENOWETH RUN @ TAYLORSVILLE,24 HOURS,KYTC,1,85241095639,,POINT (-85.55195078890384 38.188288710993504)
473,474,MPW011449,SIG011449,BLAZIER,PEPPERMILL,S,KY-22,0.0,BLAZIER @ PEPPERMILL,24 HOURS,KYTC,1,94320553503,,POINT (-85.63100747903827 38.14339600187896)
474,475,MPW012443,SIG012443,BEULAH CHURCH,FEGENBUSH,S,KY-1065,4.25,BEULAH CHURCH @ FEGENBUSH,24 HOURS,KYTC,1,95210518216,,POINT (-85.61344055821934 38.13764934318216)
475,476,MPW011958,SIG011958,APPLE VALLEY,OUTER,S,KY-1065,9.66,APPLE VALLEY @ OUTER,24 HOURS,KYTC,1,95290890481,,POINT (-85.62128890489637 38.137432955125064)
476,477,MPW016039,SIG016039,TAYLORSVILLE,BLANKENBAKER,S,KY-155,8.244,TAYLORSVILLE @ BLANKENBAKER,24 HOURS,KYTC,1,105596394762,,POINT (-85.54820059118846 38.18742588334579)
477,478,MPW014474,SIG014474,RIDGESIDE,BLACK WILLOW,S,KY-1447,3.04,RIDGESIDE @ BLACK WILLOW,24 HOURS,KYTC,1,11343D281D28,,POINT (-85.57890941814996 38.14479328000554)
478,479,MPW009967,SIG009967,OUTER,SHEPHERDSVILLE,S,KY-1065,7.66,OUTER @ SHEPHERDSVILLE,24 HOURS,KYTC,1,115944815594,,POINT (-85.65763833587414 38.13897668641035)
479,480,MPW015101,SIG015101,BILLTOWN,RUCKRIEGEL,S,KY-1819,8.89,BILLTOWN @ RUCKRIEGEL,24 HOURS,KYTC,1,116940188888,,POINT (-85.56897436582211 38.190201919358486)
480,481,MPW015307,SIG015307,TAYLORSVILLE,WATTERSON,S,KY-155,9.35,TAYLORSVILLE @ WATTERSON,24 HOURS,KYTC,1,116986394735,,POINT (-85.56546140347231 38.19428289674091)
481,482,MPW007891,SIG007891,GRINSTEAD,I 64 RAMP,S,I-64,8.071,GRINSTEAD @ I 64 RAMP,24 HOURS,KYTC,1,121302663999,,POINT (-85.70079346680589 38.2467147538147)
482,483,MPW002686,SIG002686,MARKET,38TH,M,,,MARKET @ 38TH,24 HOURS,METRO,1,124964214644,,POINT (-85.81178874047177 38.26146987015745)
483,484,MPW004089,SIG004089,JEFFERSON,DR W J HODGE,S,US-31W,20.14,JEFFERSON @ DR W J HODGE,24 HOURS,KYTC,1,127143327657,,POINT (-85.78515631148298 38.25696422960398)
484,485,MPW004583,SIG004583,CHESTNUT,16TH,M,,,CHESTNUT @ 16TH,24 HOURS,METRO,1,129071114600,,POINT (-85.77774466261245 38.25113934945449)
485,486,MPW003897,SIG003897,BROADWAY,22ND,S,US 150,0.0,BROADWAY @ 22ND,24 HOURS,KYTC,1,129910702658,,POINT (-85.7882072121325 38.249224761485465)
486,487,MPW005753,SIG005753,BRECKINRIDGE,3RD,S,KY-1020,11.978,BRECKINRIDGE @ 3RD,24 HOURS,KYTC,1,132270658643,,POINT (-85.75746585713922 38.24171656366303)
487,488,MPW005605,SIG005605,5TH,KENTUCKY,M,,,5TH @ KENTUCKY,24 HOURS,METRO,1,132922207353,,POINT (-85.76065455476974 38.23917460742523)
488,489,MPW003141,SIG003141,28TH,VIRGINIA,M,,,28TH @ VIRGINIA,24 HOURS,METRO,1,133056570687,,POINT (-85.80029909955482 38.23811361280548)
489,490,MPW003082,SIG003082,CATALPA,DUMESNIL,M,,,CATALPA @ DUMESNIL,24 HOURS,METRO,1,133451011169,,POINT (-85.80161458853475 38.23687588035992)
490,491,MPW006335,SIG006335,CLAY,ST CATHERINE,M,,,CLAY @ ST CATHERINE,24 HOURS,METRO,1,134491167578,,POINT (-85.7432602719618 38.23491660535376)
491,492,MPW006324,SIG006324,CLAY,OAK,M,,,CLAY @ OAK,24 HOURS,METRO,1,134931167471,,POINT (-85.74345558393229 38.23378912482256)
492,493,MPW003658,SIG003658,STANDARD,22ND,M,,,STANDARD @ 22ND,24 HOURS,METRO,1,135586124658,,POINT (-85.79176876645212 38.23155247120997)
493,494,MPW005368,SIG005368,MAGNOLIA,6TH,M,,,MAGNOLIA @ 6TH,24 HOURS,METRO,1,136394130600,,POINT (-85.7646824176294 38.229462030298116)
494,495,MPW005339,SIG005339,HILL,6TH,M,,,HILL @ 6TH,24 HOURS,METRO,1,137392934600,,POINT (-85.76522774415511 38.226353256701316)
495,496,MPW006669,SIG006669,BURNETT,EASTERN,S,US-60,5.069,BURNETT @ EASTERN,24 HOURS,KYTC,1,140630774183,,POINT (-85.735289760298 38.21889243932957)
496,497,MPW004401,SIG004401,CENTRAL,COLORADO,M,,,CENTRAL @ COLORADO,24 HOURS,METRO,1,143721041123,,POINT (-85.7795928705259 38.21073772567735)
497,498,MPW004268,SIG004268,ARCADE,TAYLOR,S,US-60,1.89,ARCADE @ TAYLOR,24 HOURS,KYTC,1,147500148639,,POINT (-85.7814973231902 38.202129659475496)
498,499,MPW011789,SIG011789,I 264 RAMP,WESTPORT,S,KY1447,2.0,I 264 RAMP @ WESTPORT,24 HOURS,KYTC,1,2807199957132,,POINT (-85.62540690206613 38.26471385244086)
499,500,MPW002768,SIG002768,LOUIS COLEMAN JR,GREENWOOD,M,,,LOUIS COLEMAN JR @ GREENWOOD,24 HOURS,METRO,1,28206E9852651,,POINT (-85.80952922740097 38.24315462632371)
500,501,MPW018015,SIG018015,STONEHENGE,SHELBYVILLE,S,US-60,5.12,STONEHENGE @ SHELBYVILLE,24 HOURS,KYTC,1,26300055594,,POINT (-85.62691869630349 38.250577476656474)
501,502,MPW018014,SIG018014,OXMOOR,SHELBYVILLE,M,,,OXMOOR @ SHELBYVILLE,24 HOURS,METRO,1,26674839594,,POINT (-85.61351131170146 38.24817548339119)
502,503,MPW017874,SIG017874,GOSS,PARKWAY GARDENS,S,KY-864,13.837000000000002,GOSS @ PARKWAY GARDENS,24 HOURS,KYTC,1,138322592901,,POINT (-85.73190753932663 38.22513188872848)
503,504,MPW018016,SIG018016,BRANDEIS,FLOYD,M,,,BRANDEIS @ FLOYD,24 HOURS,METRO,3,140710647225,,POINT (-85.75467585177698 38.21710347226532)
504,505,MPW007858,SIG007858,GRINSTEAD,LEXINGTON,S,US-60,8.009,GRINSTEAD @ LEXINGTON,24 HOURS,KYTC,1,152432663383,,POINT (-85.70155192397709 38.24554585506831)
505,506,MPW006743,SIG006743,MARKET,WENZEL,S,US 31W,16.715,MARKET @ WENZEL,24 HOURS,KYTC,1,155274213710,,POINT (-85.73401064863278 38.252756648789415)
506,507,MPW006772,SIG006772,CHESTNUT,LIBERTY,S,KY-864,15.84,CHESTNUT @ LIBERTY,24 HOURS,KYTC,1,155371113384,,POINT (-85.73318689344823 38.24987527924647)
507,508,MPW005369,SIG005369,BROADWAY,8TH,S,US 150,2.015,BROADWAY @ 8TH,24 HOURS,KYTC,1,155530702188,,POINT (-85.76503139322729 38.24667559710139)
508,509,MPW006863,SIG006863,BAXTER,LEXINGTON,S,US-31E,16.3,BAXTER @ LEXINGTON,24 HOURS,KYTC,1,155760417383,,POINT (-85.73070293220498 38.248510874430046)
509,510,MPW006597,SIG006597,MAIN,SHELBY,S,US 31W,16.982,MAIN @ SHELBY,24 HOURS,KYTC,1,156034138593,,POINT (-85.73779329132742 38.25457879777849)
510,511,MPW005812,SIG005812,GUTHRIE,3RD,M,KY-1020,12.370000000000001,GUTHRIE @ 3RD,24 HOURS,METRO,1,156152673643,,POINT (-85.75603702157443 38.24985088076618)
511,512,MPW005631,SIG005631,ARMORY,CHESTNUT,M,,,ARMORY @ CHESTNUT,24 HOURS,METRO,1,156180167111,,POINT (-85.76029358719796 38.24921659919302)
512,513,MPW008391,SIG008391,GARDINER,NEWBURG,S,KY-1703,2.4,GARDINER @ NEWBURG,24 HOURS,KYTC,1,156622479455,,POINT (-85.69096684036073 38.20316499650355)
513,514,MPW008712,SIG008712,MEADOWCREEK,NEWBURG,S,KY-1703,1.89,MEADOWCREEK @ NEWBURG,24 HOURS,KYTC,1,156684306455,,POINT (-85.68348879759168 38.19893102127781)
514,515,MPW008502,SIG008502,BARDSTOWN,WROCKLAGE,S,US-31E,13.387,BARDSTOWN @ WROCKLAGE,24 HOURS,KYTC,1,158790384731,,POINT (-85.68919149008065 38.22386349693469)
515,516,MPW008684,SIG008684,BARDSTOWN,TAYLORSVILLE,S,US-31E,13.126000000000001,BARDSTOWN @ TAYLORSVILLE,24 HOURS,KYTC,1,158870384639,,POINT (-85.68470804100467 38.22301101253131)
516,517,MPW007060,SIG007060,BAXTER,HIGHLAND,S,US-31E,15.653,BAXTER @ HIGHLAND,24 HOURS,KYTC,1,160260417292,,POINT (-85.7242756835629 38.24026934325608)
517,518,MPW007096,SIG007096,CHEROKEE,HIGHLAND,M,,,CHEROKEE @ HIGHLAND,24 HOURS,METRO,1,160941100292,,POINT (-85.72289721390797 38.2410442189552)
518,519,MPW007279,SIG007279,BAXTER,CASTLEWOOD,S,KY-1703,4.871,BAXTER @ CASTLEWOOD,24 HOURS,KYTC,1,161320417100,,POINT (-85.71630290374705 38.23027085273253)
519,520,MPW006285,SIG006285,BRECKINRIDGE,HANCOCK,M,,,BRECKINRIDGE @ HANCOCK,24 HOURS,METRO,1,162950657279,,POINT (-85.74437987227543 38.24031915613764)
520,521,MPW006378,SIG006378,BRECKINRIDGE,CLAY,M,,,BRECKINRIDGE @ CLAY,24 HOURS,METRO,1,162990657116,,POINT (-85.74236153619519 38.240109123455476)
521,522,MPW006479,SIG006479,BRECKINRIDGE,SHELBY,S,KY-864,15.156,BRECKINRIDGE @ SHELBY,24 HOURS,KYTC,1,163020657593,,POINT (-85.74033846728886 38.23990117621619)
522,523,MPW006257,SIG006257,HANCOCK,KENTUCKY,M,,,HANCOCK @ KENTUCKY,24 HOURS,METRO,1,163462796353,,POINT (-85.74488746904495 38.23736133986013)
523,524,MPW006558,SIG006558,SHELBY,MUHAMMAD ALI,M,,,SHELBY @ MUHAMMAD ALI,24 HOURS,METRO,1,1642059377011,,POINT (-85.73875035107653 38.24910631455281)
524,525,MPW006635,SIG006635,CAMPBELL,MUHAMMAD ALI,M,,,CAMPBELL @ MUHAMMAD ALI,24 HOURS,METRO,1,164220924701,,POINT (-85.73673770451671 38.248887530479536)
525,526,MPW005981,SIG005981,BROOK,CHESTNUT,M,,,BROOK @ CHESTNUT,24 HOURS,METRO,1,164300707111,,POINT (-85.75183325944758 38.24828431181319)
526,527,MPW005907,SIG005907,1ST,GRAY,M,,,1ST @ GRAY,24 HOURS,METRO,1,164432223262,,POINT (-85.75313921540972 38.247105622910944)
527,528,MPW006082,SIG006082,BROADWAY,FLOYD,S,US 150,2.845,BROADWAY @ FLOYD,24 HOURS,KYTC,1,164730701225,,POINT (-85.74968512254071 38.245447279489966)
528,529,MPW006325,SIG006325,JACKSON,MAIN,S,US 31W,17.343,JACKSON @ MAIN,24 HOURS,KYTC,1,165043292413,,POINT (-85.74384618767562 38.25523842120712)
529,530,MPW006251,SIG006251,PRESTON,RIVER,M,,,PRESTON @ RIVER,24 HOURS,METRO,1,165085142819,,POINT (-85.74546528571166 38.257739731182404)
530,531,MPW007447,SIG007447,FRANKFORT,HALDEMAN,S,US-60,0.382,FRANKFORT @ HALDEMAN,24 HOURS,KYTC,1,165862323278,,POINT (-85.71281495319337 38.25555120196549)
531,532,MPW004205,SIG004205,ALGONQUIN,16TH,S,KY-2054,2.17,ALGONQUIN @ 16TH,24 HOURS,KYTC,1,166410061600,,POINT (-85.78281456915354 38.222174711692944)
532,533,MPW005378,SIG005378,ST CATHERINE,7TH,M,,,ST CATHERINE @ 7TH,24 HOURS,METRO,1,166715786589,,POINT (-85.7647254435518 38.237724821970765)
533,534,MPW005838,SIG005838,MARKET,3RD,S,US 31W,21.944000000000003,MARKET @ 3RD,24 HOURS,KYTC,1,166934214643,,POINT (-85.75512442942681 38.2550539759711)
534,535,MPW005799,SIG005799,W MAIN ST,N 4TH ST,S,US 31W,21.932000000000002,W MAIN ST @ N 4TH ST,24 HOURS,KYTC,1,167112304230,,POINT (-85.75657031440103 38.256629946658215)
535,536,MPW005568,SIG005568,MARKET,7TH,S,US 31W,21.574,MARKET @ 7TH,24 HOURS,KYTC,1,167144214589,,POINT (-85.76174134730454 38.25577646733977)
536,537,MPW005828,SIG005828,LIBERTY,3RD,M,KY-1020,12.581000000000001,LIBERTY @ 3RD,24 HOURS,METRO,1,167343845643,,POINT (-85.75550056540072 38.25288996473861)
537,538,MPW005530,SIG005530,7TH,MUHAMMAD ALI,M,,,7TH @ MUHAMMAD ALI,24 HOURS,METRO,1,167415899701,,POINT (-85.76245988116418 38.25168759560303)
538,539,MPW005816,SIG005816,3RD,MUHAMMAD ALI,M,KY-1020,12.447000000000001,3RD @ MUHAMMAD ALI,24 HOURS,METRO,1,167486438701,,POINT (-85.75584320411055 38.25095913854904)
539,540,MPW005906,SIG005906,MAIN ST,S 2ND ST,S,US 31W,17.887,MAIN ST @ S 2ND ST,24 HOURS,KYTC,1,167571908413,,POINT (-85.75334438668577 38.25628169974531)
540,541,MPW006144,SIG006144,E MAIN ST,FLOYD ST,S,US 31W,17.587,E MAIN ST @ FLOYD ST,24 HOURS,KYTC,1,167612253225,,POINT (-85.74789198028822 38.25567889152572)
541,542,MPW005887,SIG005887,JEFFERSON,2ND,S,KY-1020,12.627,JEFFERSON @ 2ND,24 HOURS,KYTC,1,167683327587,,POINT (-85.75380591768153 38.25349225977082)
542,543,MPW006119,SIG006119,FLOYD,LIBERTY,M,,,FLOYD @ LIBERTY,24 HOURS,METRO,1,167752254384,,POINT (-85.7485127053399 38.252150084496265)
543,544,MPW006190,SIG006190,LIBERTY,PRESTON,S,KY-61,12.790000000000001,LIBERTY @ PRESTON,24 HOURS,KYTC,1,167773844514,,POINT (-85.7465847730206 38.251336819422086)
544,545,MPW004966,SIG004966,MAIN,13TH,S,US 31W,21.117,MAIN @ 13TH,24 HOURS,KYTC,1,167874139644,,POINT (-85.77142561477024 38.25826510116845)
545,546,MPW004290,SIG004290,PORTLAND,22ND,S,US-150,0.125,PORTLAND @ 22ND,24 HOURS,KYTC,1,171205129657,,POINT (-85.78253843677318 38.268396097358064)
546,547,MPW004079,SIG004079,TAYLOR,I 264 RAMP,S,KY-1865,5.53,TAYLOR @ I 264 RAMP,24 HOURS,KYTC,1,177476392999,,POINT (-85.78380661481953 38.186651210368886)
547,548,MPW006860,SIG006860,BELMAR,PRESTON,S,KY-61,8.540000000000001,BELMAR @ PRESTON,24 HOURS,KYTC,1,178230480514,,POINT (-85.72966778516097 38.1947102747448)
548,549,MPW006476,SIG006476,PHILLIPS,STANDIFORD FIELD,S,I-65,0.772,PHILLIPS @ STANDIFORD FIELD,24 HOURS,KYTC,1,178975051628,,POINT (-85.73942641650234 38.19366026381078)
549,550,MPW007116,SIG007116,STANDIFORD,PRESTON,S,KY-61,7.568000000000001,STANDIFORD @ PRESTON,24 HOURS,KYTC,1,181923257514,,POINT (-85.72088539476292 38.182429153283245)
550,551,MPW007098,SIG007098,TWIN SPIRES,HERCULES,M,,,TWIN SPIRES @ HERCULES,24 HOURS,METRO,1,183417697777,,POINT (-85.72138934276869 38.17685726671736)
551,552,MPW005094,SIG005094,KINGSTON,3RD,M,,,KINGSTON @ 3RD,24 HOURS,METRO,1,184663564643,,POINT (-85.76772831455644 38.173063244819126)
552,553,MPW008802,SIG008802,NAOMI,POPLAR LEVEL,S,KY-864,8.72,NAOMI @ POPLAR LEVEL,24 HOURS,KYTC,1,2,,POINT (-85.68031228411871 38.165333106281665)
553,554,MPW017879,SIG017879,SHOREWOOD,3RD STREET,S,KY-1865,2.56,SHOREWOOD @ 3RD STREET,24 HOURS,KYTC,1,190225978644,,POINT (-85.77489256195605 38.14411952022447)
554,555,MPW008360,SIG008360,MINOR,PRESTON,S,KY-61,4.43,MINOR @ PRESTON,24 HOURS,KYTC,1,190494406514,,POINT (-85.69023595894711 38.144771436644184)
555,556,MPW008782,SIG008782,OUTER,NOLTEMEYER WYNDE,S,KY-1065,6.41,OUTER @ NOLTEMEYER WYNDE,24 HOURS,KYTC,1,192164815835,,POINT (-85.68045357157455 38.13821165035518)
556,557,MPW008962,SIG008962,GLEN ROSE,PRESTON,S,KY-61,2.13,GLEN ROSE @ PRESTON,24 HOURS,KYTC,1,197552564514,,POINT (-85.67605433265176 38.113954367464835)
557,558,MPW004104,SIG004104,BLUEGRASS,TAYLOR,S,KY-1865,5.03,BLUEGRASS @ TAYLOR,24 HOURS,KYTC,1,201270572639,,POINT (-85.78326613878332 38.17960730472723)
558,559,MPW007258,SIG007258,MINOR,SOUTH PARK,M,,,MINOR @ SOUTH PARK,24 HOURS,METRO,1,203994406631,,POINT (-85.71499595903629 38.11580263525117)
559,560,MPW008376,SIG008376,BLUE LICK,SOUTH PARK,S,KY-1450,2.17,BLUE LICK @ SOUTH PARK,24 HOURS,KYTC,1,204430577631,,POINT (-85.68949391248219 38.11634948612984)
560,561,MPW003222,SIG003222,HAZELWOOD,MANSLICK,S,KY-1931,6.593,HAZELWOOD @ MANSLICK,24 HOURS,KYTC,1,204442861416,,POINT (-85.79755103375268 38.1703766547417)
561,562,MPW007296,SIG007296,FERN VALLEY,SIGNATURE,S,KY-1747,0.97,FERN VALLEY @ SIGNATURE,24 HOURS,KYTC,1,206472190922,,POINT (-85.71442958806072 38.157311085534694)
562,563,MPW005263,SIG005263,STRAWBERRY,THALIA,S,KY-1020,6.09,STRAWBERRY @ THALIA,24 HOURS,KYTC,1,207476193642,,POINT (-85.76468084775851 38.15812424706012)
563,564,MPW004354,SIG004354,KENWOOD,KNOLL GATE,S,KY-1865,3.775,KENWOOD @ KNOLL GATE,24 HOURS,KYTC,1,208037586936,,POINT (-85.77917632574027 38.161625507588624)
564,565,MPW005124,SIG005124,ASHLAND,SOUTHERN,S,KY-1020,8.007,ASHLAND @ SOUTHERN,24 HOURS,KYTC,1,208880194605,,POINT (-85.76742317680637 38.185238132085395)
565,566,MPW002783,SIG002783,CRUMS,DIXIE,S,US-31W,15.34,CRUMS @ DIXIE,24 HOURS,KYTC,1,209291358161,,POINT (-85.80802057183382 38.19204067766612)
566,567,MPW001682,SIG001682,DIXIE,KERRICK,S,US-31W,12.3,DIXIE @ KERRICK,24 HOURS,KYTC,1,218321612354,,POINT (-85.83578934611562 38.15337459232581)
567,568,MPW017876,SIG017876,DIXIE,KERRICK,S,US-31W,12.3,DIXIE @ KERRICK,24 HOURS,KYTC,1,218321612354,,POINT (-85.83545731431222 38.154207802598755)
568,569,MPW017877,SIG017877,DIXIE,KERRICK,S,US-31W,12.14,DIXIE @ KERRICK,24 HOURS,KYTC,1,218321612354,,POINT (-85.83628349964344 38.152171826237094)
569,570,MPW001675,SIG001675,PAGES,3RD STREET,S,KY-907,2.1,PAGES @ 3RD STREET,24 HOURS,KYTC,1,223654935644,,POINT (-85.83523505560592 38.11523488639885)
570,571,MPW001677,SIG001677,SILVERWOOD,STONESTREET,M,,,SILVERWOOD @ STONESTREET,24 HOURS,METRO,1,224725995617,,POINT (-85.83493925216663 38.107260746649075)
571,572,MPW000904,SIG000904,VALLEY STATION,RENAISSANCE VALLEY,S,KY-907,0.32,VALLEY STATION @ RENAISSANCE VALLEY,24 HOURS,KYTC,1,224936826E23,,POINT (-85.86139561199639 38.10568830446386)
572,573,MPW000308,SIG000308,GREENBELT,RIVERPORT,S,KY-1934,5.5,GREENBELT @ RIVERPORT,24 HOURS,KYTC,1,228248324838,,POINT (-85.88164710798442 38.16116225039452)
573,574,MPW000458,SIG000458,LOWER HUNTERS,GREENBELT,S,KY-1934,6.2,LOWER HUNTERS @ GREENBELT,24 HOURS,KYTC,1,228553969832,,POINT (-85.87601760836154 38.17018546768809)
574,575,MPW001370,SIG001370,DIXIE,PAGES,S,US-31W,10.5,DIXIE @ PAGES,24 HOURS,KYTC,1,229021612713,,POINT (-85.84785575556292 38.13017689057134)
575,576,MPW012520,SIG012520,WATTERSON,HURSTBOURNE,S,KY-1747,6.847,WATTERSON @ HURSTBOURNE,24 HOURS,KYTC,1,247977291912,,POINT (-85.61296778574241 38.16286688896449)
576,577,MPW005342,SIG005342,SOUTHERN,HARLAN,S,KY-1020,9.15,SOUTHERN @ HARLAN,24 HOURS,KYTC,1,2762160522810,,POINT (-85.76451704320307 38.201582042990886)
577,578,MPW018013,SIG018013,GOODWILL,TAYLORSVILLE,S,KY-155,13.123000000000001,GOODWILL @ TAYLORSVILLE,24 HOURS,KYTC,1,28256E9916394,,POINT (-85.62211581655522 38.21965811182597)
578,579,MPW017864,SIG017864,I 65 RAMP,UNIVERSITY,M,,,I 65 RAMP @ UNIVERSITY,24 HOURS,METRO,1,291049998F271,,POINT (-85.75489880009181 38.215866298626636)
579,580,MPW003233,SIG003233,CYPRESS,HILL,M,,,CYPRESS @ HILL,24 HOURS,METRO,1,151001374293,,POINT (-85.79860933209994 38.23033214207191)
580,581,MPW007583,SIG007583,BARDSTOWN,EASTERN,S,US-31E,14.626000000000001,BARDSTOWN @ EASTERN,24 HOURS,KYTC,1,151740384183,,POINT (-85.70932330628499 38.23199993240154)
581,582,MPW007153,SIG007153,BARRET,EASTERN,S,US-60,6.104,BARRET @ EASTERN,24 HOURS,KYTC,1,151930395183,,POINT (-85.72043597958694 38.226522270103075)
582,583,MPW007941,SIG007941,GRINSTEAD,I 64 RAMP,S,I-64,8.072000000000001,GRINSTEAD @ I 64 RAMP,24 HOURS,KYTC,1,152272663999,,POINT (-85.7000916277688 38.24784260721714)
583,584,MPW007623,SIG007623,NEWBURG,BELLARMINE,S,KY-1703,3.85,NEWBURG @ BELLARMINE,24 HOURS,KYTC,1,154274552D26,,POINT (-85.70778650822123 38.21698704506301)
584,585,MPW005729,SIG005729,CENTRAL,FLOYD,M,,,CENTRAL @ FLOYD,24 HOURS,METRO,1,154411041225,,POINT (-85.75711784245945 38.203126799052555)
585,586,MPW006678,SIG006678,CAMPBELL,MAIN,S,US 31W,16.919,CAMPBELL @ MAIN,24 HOURS,KYTC,1,155160924413,,POINT (-85.73577397777153 38.25436059176774)
586,587,MPW006798,SIG006798,BAXTER,MARKET,S,US 31W,16.635,BAXTER @ MARKET,24 HOURS,KYTC,1,155280417421,,POINT (-85.73255590882658 38.25259575235719)
