X,Y,OBJECTID,UNITID,SIGID,MAINSTREET,CROSSSTREET,OWNER2,ROUTE,MILEPOINT,DESCRIPTION,TIMES,OWNER,TYPE,INTID,ATMSID
-85.7614924974142,38.2571657488114,806,MPW005579,SIG005579,MAIN,7TH,S,US 31W,21.66,MAIN @ 7TH,24 HOURS,KYTC,1, 1670541395898,
-85.7584285033636,38.2554145525189,807,MPW005718,SIG005718,5TH,MARKET,S,US 31W,21.76,5TH @ MARKET,24 HOURS,KYTC,1, 1671622074214,
-85.7636335908327,38.2545710186552,808,MPW005473,SIG005473,8TH,JEFFERSON,M,,,8TH @ JEFFERSON,24 HOURS,METRO,1, 1672218853327,
-85.7501508620962,38.2545079256253,809,MPW006070,SIG006070,BROOK,MARKET,S,US 31W,17.567,BROOK @ MARKET,24 HOURS,KYTC,1, 1676407074213,
-85.7650343063766,38.2561435243598,810,MPW005382,SIG005382,MARKET,ROY WILKINS,S,US 31W,21.356,MARKET @ ROY WILKINS,24 HOURS,KYTC,1, 1688142146207,
-85.7651241953695,38.2547342396409,811,MPW005375,SIG005375,JEFFERSON,ROY WILKINS,M,,,JEFFERSON @ ROY WILKINS,24 HOURS,METRO,1, 1688333276207,
-85.8023680847473,38.2316037610824,812,MPW003048,SIG003048,CATALPA,WILSON,M,,,CATALPA @ WILSON,24 HOURS,METRO,1, 1697810117212,
-85.8043247708321,38.2724034338948,813,MPW003018,SIG003018,BANK,35TH,S,KY-3082,0.313,BANK @ 35TH,24 HOURS,KYTC,1, 1718203706447,
-85.8211122612106,38.2441892436625,814,MPW002216,SIG002216,CECIL,GREENWOOD,M,,,CECIL @ GREENWOOD,24 HOURS,METRO,1, 1738810262651,
-85.7667094785143,38.1892431589077,815,MPW005170,SIG005170,SOUTHERN HEIGHTS,SOUTHERN,S,KY-1020,8.354,SOUTHERN HEIGHTS @ SOUTHERN,24 HOURS,KYTC,1, 1775160516052,
-85.76678200109,38.1939484203144,816,MPW005178,SIG005178,SOUTHERN,WHITNEY,S,KY-1020,8.674,SOUTHERN @ WHITNEY,24 HOURS,KYTC,1, 1780160527175,
-85.7507207266029,38.1886702091766,817,MPW005966,SIG005966,CRITTENDEN,I 264 RAMP,S,KY-1631,0,CRITTENDEN @ I 264 RAMP,24 HOURS,KYTC,1, 1804213429995,
-85.698306021098,38.1827267088912,818,MPW007967,SIG007967,GILMORE,POPLAR LEVEL,S,KY-864,10.28,GILMORE @ POPLAR LEVEL,24 HOURS,KYTC,1, 1818825275123,
-85.7988541644191,38.1789431922217,819,MPW003160,SIG003160,BLUEGRASS,HOBART,S,KY-1931,7.196,BLUEGRASS @ HOBART,24 HOURS,KYTC,1, 1824505722766,
-85.7680049840775,38.1714845851568,820,MPW005066,SIG005066,SOUTHLAND,3RD,M,,,SOUTHLAND @ 3RD,24 HOURS,METRO,1, 1853360576438,
