intid,main_street,cross_street,longitude,latitude,description
1573018355143,EASTERN,PRESTON,-85.7431151123234,38.2145988963356,EASTERN @ PRESTON
1577605054163,BERRY,MANSLICK,-85.7990731445227,38.1967511906579,BERRY @ MANSLICK
1581123232938,FRANKFORT,HILLCREST,-85.6842809387856,38.2545890729853,FRANKFORT @ HILLCREST
1604511004985,CHEROKEE,PATTERSON,-85.7176792382546,38.2381497074861,CHEROKEE @ PATTERSON
1638042135143,MARKET,PRESTON,-85.746103454278,38.2540711594498,MARKET @ PRESTON
1641132927011,JACKSON,MUHAMMAD ALI,-85.7448010062114,38.2497633370199,JACKSON @ MUHAMMAD ALI
1644607072625,BROOK,GRAY,-85.75148311846,38.2469298747813,BROOK @ GRAY
1644811135937,CHESTNUT,SHELBY,-85.7391317082625,38.2469201513984,CHESTNUT @ SHELBY
1656307242783,BROWNSBORO,HALDEMAN,-85.7104710082252,38.2595157102659,BROWNSBORO @ HALDEMAN
1665635324569,KENTUCKY,9TH,-85.7679059184632,38.2403917120252,KENTUCKY @ 9TH
1665935326009,KENTUCKY,6TH,-85.7628504254185,38.2398816938577,KENTUCKY @ 6TH
1669241396437,MAIN,3RD,-85.75487037815,38.256450346443,MAIN @ 3RD
1670641396008,MAIN,6TH,-85.7598387088948,38.2569875115217,MAIN @ 6TH
1672623053327,4TH,JEFFERSON,-85.7570188315477,38.2538433724363,4TH @ JEFFERSON
1672818853845,8TH,LIBERTY,-85.7638364522096,38.2534423752072,8TH @ LIBERTY
1676522544213,FLOYD,MARKET,-85.7481354093604,38.2542888533872,FLOYD @ MARKET
1677122543326,FLOYD,JEFFERSON,-85.748379349324,38.2529029274155,FLOYD @ JEFFERSON
1679542146566,MARKET,12TH,-85.7700107988734,38.2566931969309,MARKET @ 12TH
1686142146413,MARKET,10TH,-85.7667043469868,38.2563288578681,MARKET @ 10TH
1687211146207,CHESTNUT,ROY WILKINS,-85.7659874322943,38.2498497624555,CHESTNUT @ ROY WILKINS
1687311141885,CHESTNUT,8TH,-85.7644998759508,38.2496818796356,CHESTNUT @ 8TH
1715351296461,PORTLAND,33RD,-85.8009519393022,38.2749471305728,PORTLAND @ 33RD
1718603706445,BANK,38TH,-85.8106549251098,38.2719632110336,BANK @ 38TH
1724703846082,BARDSTOWN,SPEED,-85.7010620329747,38.2284548786912,BARDSTOWN @ SPEED
1741010262784,CECIL,HALE,-85.8216124229596,38.2414530985981,CECIL @ HALE
1758809341358,CANE RUN,CRUMS,-85.8373871618678,38.1993207370194,CANE RUN @ CRUMS
1761703076315,CRUMS,SHANKS,-85.842577830539,38.1953806417574,CRUMS @ SHANKS
