,longitude,latitude,row_ID,unit_ID,sig_ID,main_street,cross_street,route,milepoint,times,owner,type,int_ID,ATMSID
434,-85.6593823830485,38.1787821690888,435,MPW009924,SIG009924,BUECHEL BANK,SHEPHERDSVILLE,KY-1703,0.0,24 HOURS,KYTC,1,2,
435,-85.6599756245171,38.1600376936613,436,MPW009866,SIG009866,POPLAR LEVEL,SHEPHERDSVILLE,KY-864,7.42,24 HOURS,KYTC,1,  908451235945,
436,-85.6037354686152,38.1958867782985,437,MPW013096,SIG013096,HURSTBOURNE,AMBROSSE,KY-1747,9.39,24 HOURS,KYTC,1, 1032291269795,
437,-85.6725969626033,38.1035119733648,438,MPW009122,SIG009122,COOPER CHAPEL,PRESTON,KY-61,1.4,24 HOURS,KYTC,1, 1087512735144,
438,-85.6044304932903,38.1711374953043,439,MPW013017,SIG013017,STONY BROOK,HURSTBOURNE,KY-1747,7.64,24 HOURS,KYTC,1, 1140889469126,
439,-85.568494047621,38.1923347883736,440,MPW015123,SIG015123,BILLTOWN,MAPLE,,,24 HOURS,JEFFERSONTOWN,1, 1169201884170,
440,-85.565290368502,38.18843704826,441,MPW015311,SIG015311,GAUDET,RUCKRIEGEL,KY-1819,9.12,24 HOURS,KYTC,1, 1174036828881,
441,-85.8075395449995,38.2544642484307,442,MPW002852,SIG002852,34TH,RIVER PARK,,,24 HOURS,METRO,1,1278855356448,
442,-85.6857690533914,38.2606039787168,443,MPW008671,SIG008671,BROWNSBORO,HILLCREST,US-42,2.747,24 HOURS,KYTC,1, 1260707242938,
443,-85.8005357457497,38.255908321264,444,MPW003154,SIG003154,30TH,MUHAMMAD ALI,,,24 HOURS,METRO,1, 1274864447012,
444,-85.7815071273592,38.2489411960884,445,MPW004324,SIG004324,BROADWAY,18TH,US-150,1.07,24 HOURS,KYTC,1, 1299807021883,
445,-85.7716044206164,38.2482432901312,446,MPW004945,SIG004945,12TH STREET CONNECTOR,ESQUIRE,,,24 HOURS,METRO,1, 1303385349226,
446,-85.7874572913015,38.2439414020776,447,MPW003946,SIG003946,GARLAND,DR W J HODGE,US-31W,19.285,24 HOURS,KYTC,1, 1313224826574,
447,-85.7962333241861,38.2377684361695,448,MPW003377,SIG003377,OAK,26TH,,,24 HOURS,METRO,1, 1332247196584,
448,-85.7619919881367,38.2351731581828,449,MPW005537,SIG005537,GARVIN,OAK,,,24 HOURS,METRO,1, 1342824914719,
449,-85.7412402641562,38.2347024569607,450,MPW006433,SIG006433,MARY,ST CATHERINE,KY-864,14.794,24 HOURS,KYTC,1, 1346242345785,
450,-85.7414711000562,38.2333958406402,451,MPW006422,SIG006422,OAK,SHELBY,KY-864,14.7,24 HOURS,KYTC,1, 1351347185937,
451,-85.7580554982957,38.2287728199784,452,MPW005709,SIG005709,MAGNOLIA,2ND,KY-1020,10.913,24 HOURS,KYTC,1, 1367141305872,
452,-85.7547321628998,38.2284742893224,453,MPW005835,SIG005835,BROOK,MAGNOLIA,,,24 HOURS,METRO,1, 1368107074129,
453,-85.7586008323775,38.2256510353154,454,MPW005688,SIG005688,HILL,2ND,KY-1020,10.694,24 HOURS,KYTC,1, 1376529345872,
454,-85.733329458601,38.2259492735671,455,MPW006745,SIG006745,GOSS,TEXAS,KY-864,13.933,24 HOURS,KYTC,1, 1377025926424,
455,-85.8001781350857,38.2237161827927,456,MPW003126,SIG003126,ALGONQUIN,CYPRESS,KY-2054,1.22,24 HOURS,KYTC,1, 1383300611374,
456,-85.7266912200724,38.217605510463,457,MPW006977,SIG006977,POPLAR LEVEL,THRUSTON,KY-864,13.2,24 HOURS,KYTC,1, 1411651236480,
457,-85.7521082305869,38.214308828017,458,MPW005937,SIG005937,UNIVERSITY,I 65 RAMP,I-65,0.185,24 HOURS,KYTC,1,14222F2719998,
458,-85.762298597589,38.2137534879316,459,MPW005500,SIG005500,EASTERN,3RD,US-60,3.479,24 HOURS,KYTC,1, 1427818356438,
459,-85.7010023961369,38.21357191924,460,MPW007851,SIG007851,NEWBURG,TREVILIAN,KY-1703,3.399,24 HOURS,KYTC,1, 1428245526530,
460,-85.7690909555766,38.2108265538064,461,MPW005049,SIG005049,ALGONQUIN,WINKLER,US-60,2.78,24 HOURS,KYTC,1, 1437400617237,
